Search Scope,Job Title,Description,Deliverable,Fixed or Hourly,Budget,Buyer Spend,Buyer Hires,Proposals,Geography,Expertise,Posted Time,Job URL,Product / Category,Supplier Geography,Supplier Quantity,Qualification Criteria,Verification Required,Quote / Price Required,Comparison Required,Recommendation / Ranking Required,Contact Depth,Tool / Platform Requirement,Recurring or One-off,AI Completion Notes,Entry Barrier Notes,Include / Exclude Decision,Exclusion Reason
"Supplier / Vendor Research + Shortlist","Market & Supplier Sourcer (Pet Wellness – Dropshipping to Australia)","Launch pet wellness dropshipping brand; map supplier landscape; shortlist suppliers; negotiate dropship terms; vet product safety; order samples; produce launch catalog.","Supplier matrix, 12-15 SKU catalog, signed terms/SLA pack, sample QC report, compliance guardrails","Fixed","$1,000","Unknown","Unknown","Less than 5","Worldwide; AU target market","Expert","yesterday","https://www.upwork.com/freelance-jobs/apply/Market-Supplier-Sourcer-Pet-Wellness-Dropshipping-Australia_~021960909253577523565/","Pet wellness supplements/hygiene","AU, US, EU, CN with fast AU lanes","15-20 suppliers, 12-15 SKUs","Margin >=55%, AU delivery <=10 days, blind ship, returns/warranty, inventory feeds, certifications","Yes: supplier terms, samples, QC, compliance guardrails","Yes: wholesale, shipping, landed margin","Yes: supplier matrix and top picks catalog","Yes: top picks and rationale","Supplier contact plus terms/SLA evidence","Supplier platforms, email negotiation, spreadsheets","Ongoing project / 2-3 week milestones","AI can support landscape mapping, matrix design, margin math, comparison, report writing.","High: negotiation, samples, compliance, QC, supplier communication; still standalone sourcing but execution-heavy.","Include",""
"Supplier / Vendor Research + Shortlist","Product Sourcing Expert Needed: Custom Metal Deer Cardholder","Find reliable manufacturer for specific metal deer cardholder giveaway; current contacts unreliable; batch about 300 units; shipping to Germany.","Manufacturer recommendation/contact for matching product","Fixed","$100","$6.1K total spent","22 hires, 5 active","5 to 10","Worldwide; emerging market supplier, ship to Germany","Intermediate","6 days ago","https://www.upwork.com/freelance-jobs/apply/Product-Sourcing-Expert-Needed-Custom-Metal-Deer-Cardholder_~021935423477238596643/","Custom metal deer cardholder","China, India, Vietnam or other cost-efficient producer","Likely one or more reliable manufacturers","Material/spec match, cost-efficient producer, reliable communication, shipping to Germany","Yes: reliable manufacturer and product fit","Implicit quote likely but not explicit","Implicit comparison after prior failed contacts","Likely recommendation","Manufacturer contact","Sourcing platforms/network","One-time","High AI leverage for supplier search, spec matching, outreach templates, comparison table.","Medium: sourcing experience required; possible manufacturer communication.","Include",""
"Supplier / Vendor Research + Shortlist","Private Label Supplement Manufacturer Sourcing","Find and verify private label manufacturers for human and pet supplements; gather quotes, MOQ, pricing, lead time, packaging options, certification proof.","Supplier list, quotation sheet with certification proof, final recommendation report","Hourly","$10-$20/hr","$20 total spent","1 hire, 0 active","20 to 50","Worldwide; Finland buyer","Intermediate","last month","https://www.upwork.com/freelance-jobs/apply/Private-Label-Supplement-Manufacturer-Sourcing_~021977888795111418167/","Human and pet supplements","Unknown; private label/OEM manufacturers","5-7 manufacturers","GMP/FDA preferred, OEM/private label, capability, packaging options","Yes: certifications and capability","Yes: quotes, MOQ, pricing, lead time","Yes: comparison report","Yes: final recommendation","Supplier contacts","Excel/Google Sheets; possibly Chinese helpful","Ongoing project / <1 month","AI can support manufacturer discovery, quote matrix, certification checklist, recommendation drafting.","Medium-high: supplement category and certification verification; high competition.","Include",""
"Supplier / Vendor Research + Shortlist","Sourcing Expert Required Immediately to Source Identical EVA Beach Bag","Find factory in China already producing an EVA beach tote matching reference photos within 5-10% variance.","At least one verified factory contact with proof photos/catalog/product link","Fixed","$100","$136 total spent","1 hire, 0 active","10 to 15","Worldwide; China factory required","Intermediate","yesterday","https://www.upwork.com/freelance-jobs/apply/Sourcing-Expert-Required-Immediately-Source-Identical-EVA-Beach-Bag_~021960933866357231751/","EVA beach tote bag","China","At least 1 verified factory","Exact/near-exact design match, factory already producing, EVA/molded plastic capability","Yes: proof of product match","No: client handles pricing/MOQ/order","No formal matrix, but proof comparison required","Yes: verified match","Factory name/contact and proof link/photos","Factory network, Alibaba/1688 or industry contacts","Ongoing possible","AI can help image/spec checklist, supplier search prompts, outreach and proof checklist.","Medium-high: likely needs China network/factory contacts; fast turnaround.","Include",""
"Supplier / Vendor Research + Shortlist","Sourcing Agent Needed in Turkey, Pakistan, or India for T-Shirt Brand","Find and contact factories for first small-batch t-shirt brand; evaluate best option by quality, MOQ, flexibility, production time, pricing; summarize comparisons.","Factory responses and brief summary/comparison","Hourly","Unknown","$377 total spent","11 hires, 0 active","20 to 50","Worldwide, but freelancer must be based Turkey/Pakistan/India","Intermediate","5 days ago","https://www.upwork.com/freelance-jobs/apply/Sourcing-Agent-Needed-Turkey-Pakistan-India-for-Shirt-Brand_~021932289615647152984/","T-shirt manufacturing","Turkey, Pakistan, India","Applicant to state realistic number","Quality, MOQ, flexibility, production time, pricing","Yes: collect factory responses","Yes: pricing requested","Yes: summary/comparison","Yes: best option","Factory contacts","Local factory network/email/phone","One-time, possible long-term","AI can structure outreach and comparison; sourcing itself needs local access.","High: location-specific and garment factory network required.","Include",""
"Supplier / Vendor Research + Shortlist","Factory Sourcing Consultant – Apparel & Accessories","Find factory partners for golfwear capsule across glove, trousers, tracksuit, sweater; coordinate sampling process; act as liaison.","3-5 vetted vendor options per product category, intro emails/calls, summary table with capabilities/cost/lead time/notes","Hourly","$20-$30/hr","$250 total spent","2 hires, 1 active","10 to 15","Worldwide; direct ties to Vietnam or South China preferred","Expert","last month","https://www.upwork.com/freelance-jobs/apply/Factory-Sourcing-Consultant-Apparel-Accessories_~021937656703691805406/","Golfwear apparel/accessories","Vietnam or South China preferred","3-5 vendors per product category","MOQ, sampling fees/timeline, lead times, capabilities, quality/discretion","Yes: vetted vendors and factory examples","Yes: costs and sampling fees","Yes: summary table","Implicit recommendation","Factory contacts and facilitated intro","Factory network, English/Vietnamese/Mandarin preferred","1-3 months, possible contract-to-hire","AI can help tables, spec translation, comparison; limited without factory network.","High: expert apparel sourcing, Asia network, liaison/sampling coordination.","Include",""
"Supplier / Vendor Research + Shortlist","Local Sourcing Agent in Mexico","Identify and establish communication with Mexican plastic molding manufacturers for reusable transparent dessert cups.","Manufacturer identification and supplier communication support","Fixed","$600","$13K total spent","39 hires, 6 active","5 to 10","Worldwide, but local Mexico agent needed","Intermediate","last month","https://www.upwork.com/freelance-jobs/apply/Local-Sourcing-Agent-Mexico_~021922020606660255654/","Reusable plastic dessert cups","Mexico","Unknown","Plastic molding manufacturers, microwave-safe transparent reusable kitchenware","Yes: suitable manufacturers and communication","Implicit","Implicit","Implicit","Manufacturer contacts plus outreach/communication","Local Mexico network, phone/email/in-person if needed","Ongoing / contract-to-hire","AI can support research and contact scripts; local network/Spanish calling may be core.","High: local agent and possibly phone/in-person outreach.","Include",""
"Supplier / Vendor Research + Shortlist","Alibaba Product Sourcing Assistant","Source/manage 32 products on Alibaba; message suppliers, confirm details, negotiate price/shipping/customization, coordinate delivery logistics.","Records of supplier contacts, quotes, shipping details for 32 products","Fixed","$50","$1.1K total spent","23 hires, 8 active","5 to 10","Worldwide; Norway buyer","Intermediate","yesterday","https://www.upwork.com/freelance-jobs/apply/Alibaba-Product-Sourcing-Assistant_~021976374627002706231/","Car detailing business products","Alibaba suppliers, likely China/global","32 target products","Product details, quality/spec confirmation, small quantity, customization","Yes: supplier communication and details","Yes: prices and shipping costs","No formal recommendation, more coordination","No clear ranking","Supplier contacts and logistics details","Alibaba","One-time","AI can help product spec templates and tracking sheet, but job is operational supplier messaging.","Medium: negotiation/logistics for many SKUs; very low fixed price.","Exclude","Procurement coordination/negotiation for 32 products at low price; not attractive shortlist SKU."
"Supplier / Vendor Research + Shortlist","China Operations Agent – Sourcing + Factory Visits + Negotiation Expert","Manage supplier relations and apparel sourcing on the ground in China; visit factories, negotiate, inspect, report.","Long-term China operations/supply chain management","Fixed","$1,000","$860 total spent","5 hires, 1 active","15 to 20","Worldwide listing, but must be located in China","Intermediate","last month","https://www.upwork.com/freelance-jobs/apply/China-Operations-Agent-Sourcing-Factory-Visits-Negotiation-Expert_~021925720719848390080","Apparel materials/products","China, Guangdong/Zhejiang preferred","Unknown","High-quality manufacturers, apparel production capability, local inspection","Yes: factory visits/inspections","Yes: negotiate pricing/lead times/terms","Likely","Yes as supply-chain partner","Factory relationships","Local China presence, apparel factory network","Ongoing / contract-to-hire","AI can assist documentation but not local visits or factory management.","Very high: China location, inspections, negotiation, supply chain ownership.","Exclude","Local operations/factory visits, not remote shortlist research."
"Supplier / Vendor Research + Shortlist","Factory Sourcing Expert for Supplement Gummies in Mexico or USA","Find/evaluate factories in Mexico or USA for supplement gummies; assess production capability and compliance; negotiate terms.","Vetted factory options and sourcing support","Hourly","$10-$25/hr","$4.6K total spent","18 hires, 10 active","5 to 10","Worldwide; Mexico/USA factories","Intermediate","5 days ago","https://www.upwork.com/freelance-jobs/apply/Factory-Sourcing-Expert-for-Supplement-Gummies-Mexico-USA_~021935816765333680572/","Supplement gummies","Mexico or USA","Unknown","Supplement industry, factory audit, production capability, quality compliance","Yes: factory capability/compliance","Likely: negotiate favorable terms","Likely","Likely","Factory contacts","Industry network, compliance knowledge","Ongoing / 1-3 months","AI can help checklist/research; supplement compliance and factory audits reduce leverage.","High: supplement industry, audits, compliance, negotiation.","Exclude","Sourcing plus audits/compliance/negotiation; higher barrier than shortlist."
