Search Scope,Job Title,Description,Deliverable,Fixed or Hourly,Budget,Buyer Spend,Buyer Hires,Proposals,Geography,Expertise,Posted Time,Job URL,Lead Quantity,Qualification Criteria,Contact Depth,Verification Required,Prioritization Required,Buying Signal Required,Personalization Required,Price per Lead / Effective Rate,Recurring or One-off,Tool Requirement,Layer,AI Completion Notes,Entry Barrier Notes,Include / Exclude Decision,Exclusion Reason
"Lead Research / Qualified Lead List","Lead Generation For Web Development Agency","Research SaaS, funded startup, tech, and growth-stage companies matching ICP; collect verified contacts and company metadata.","Initial batch of 100 ICP-matching leads in spreadsheet","Fixed","$50","$695 total spent","3 hires, 1 active","5 to 10","Worldwide; English-speaking markets target","Intermediate","2 days ago","https://www.upwork.com/freelance-jobs/apply/Lead-Generation-For-Web-Development-Agency_~021939433396169107339/","100 initial leads","Roles, company type, funding/revenue, region, size, optional tech stack/ad activity","Person / decision maker","Yes: verified contact data and ICP fit","Implicit: ICP fit, optional signals","Optional: funding, old tech stack, paid ads/campaigns","No","$0.50/lead if fixed at 100 leads","Potential ongoing monthly","LinkedIn Sales Navigator, Apollo, Crunchbase or similar","L2","High: AI can help identify/filter companies, infer ICP fit, structure spreadsheet, find signals; email verification still needs tools.","Medium: lead gen tools and data accuracy expected; price is low.","Include",""
"Lead Research / Qualified Lead List","B2B Lead Generation Research Specialist","Strategic lead research for cybersecurity/IT firm; research competitors, forums/groups, SMB pain points, build hyper-targeted verified lead lists, identify opportunities/signals.","Repeatable lead engine inputs: verified prospects, ICP improvements, opportunity findings, meeting reports","Hourly","$5-$12/hr","$39K total spent","251 hires, 8 active","5 to 10","Worldwide; US SMB target","Intermediate","3 days ago","https://www.upwork.com/freelance-jobs/apply/B2B-Lead-Generation-Research-Specialist_~021947123709407999942/","Unknown","SMB industries, ICP targeting, pain points, opportunity signals","Company + person + decision maker + context","Yes: verified prospects and clean data","Yes: hyper-targeted fit and opportunity quality","Yes: expansion, tech-related job posts, pain points from groups/forums","Possibly: meetings and reporting require contextual insights","Hourly $5-$12","Ongoing, contract-to-hire","Social/forums, LinkedIn, enrichment tools likely","L3","High: AI can monitor public signals, extract pain points, score fit, draft account notes; human judgment needed in prioritization.","Medium-high: strategic thinking, meetings with COO, forum/group research; low hourly despite L3 scope.","Include",""
"Lead Research / Qualified Lead List","Storeleads ecommerce prospect list","Extract ecommerce stores from Storeleads with filters; identify stores shipping Netherlands to USA; provide buyer/decision-maker details.","Filtered ecommerce prospect list with decision-maker names, emails, LinkedIn profiles","Hourly","Unknown","$10K total spent","64 hires, 21 active","20 to 50","Worldwide; Netherlands-to-USA shipping criteria","Intermediate","2 days ago","https://www.upwork.com/freelance-jobs/apply/Storeleads-ecommerce-prospect-list_~021947702968694220017/","Unknown","Storeleads filters; shipping from Netherlands to USA","Company + person / decision maker","Yes: decision-maker details requested","No explicit prioritization","No explicit buying signal beyond shipping criterion","No","Unknown","One-time","Storeleads; possibly email/LinkedIn tools","L2","Medium: AI can help filter and structure, but Storeleads access is core.","Medium: depends on paid database and competition is high.","Include",""
"Lead Research / Qualified Lead List","Contact List Building Specialist – Real Estate Agencies (USA)","Build high-quality list of US real estate agencies; collect verified brokers, owners, or key decision-makers.","Google Sheet with agency, owner/broker, title, email, phone, website, LinkedIn; 90% accuracy required","Hourly","$8-$10/hr","$110 total spent","1 hire, 1 active","20 to 50","Worldwide; USA target","Intermediate","3 weeks ago","https://www.upwork.com/freelance-jobs/apply/Contact-List-Building-Specialist-Real-Estate-Agencies-USA_~021942957877148708067/","Unknown","Real estate agencies in USA; brokers/owners/key decision-makers","Person / decision maker","Yes: 90% accuracy, non-generic emails","No","No","No","Hourly $8-$10","1-3 months","LinkedIn Sales Navigator, Apollo, Hunter, Zillow, Realtor.com","L1/L2","High for collection/enrichment; low judgment beyond role filtering.","Low-medium: tools required; high competition; moderate hourly.","Include",""
"Lead Research / Qualified Lead List","Virtual Assistant for AI-Powered Lead Gen (ChatGPT, Clay, Apollo, Instantly)","Support outbound lead-gen pipelines: build Apollo searches by ICP, import/process in Clay, dedupe, enrich, verify, generate icebreakers, QA Instantly campaigns.","ICP docs, clean deduplicated lead lists, Clay tables, verified emails, signals, 1-line icebreakers, campaign QA/reporting","Hourly","$6-$10/hr","$5.6K total spent","11 hires, 3 active","10 to 15","Worldwide","Intermediate","2 months ago","https://www.upwork.com/freelance-jobs/apply/Virtual-Assistant-for-Powered-Lead-Gen-ChatGPT-Clay-Apollo-Instantly_~021971936531613696336/","100+ leads per client to start","Client ICP, enrichment, fit, signals","Company + person + enriched fields","Yes: dedupe and email verification","Yes: ICP fit processing and signal strength","Yes: website scrape, signals, icebreakers","Yes: one-line icebreakers","Hourly $6-$10","Ongoing 1-3 months","ChatGPT, Clay, Apollo, Instantly, BounceBan, AmpleLeads","L2/L3","High AI leverage but much of task is sales ops/tool operation; L3 elements appear in signals/icebreakers.","High: requires hands-on Clay/Apollo/Instantly and campaign QA.","Exclude","Tool-operation and campaign execution dominate; not standalone research SKU."
"Lead Research / Qualified Lead List","B2B AI Lead Generation Expert Wanted – Automate & Scale Outreach with Results","Design and implement AI-powered lead generation systems, enrich/qualify leads, set up outreach campaigns, optimize conversion.","Lead generation systems, workflows, outreach campaigns, performance tracking","Hourly","Unknown","$169 total spent","4 hires, 3 active","Less than 5","Worldwide","Expert","4 weeks ago","https://www.upwork.com/freelance-jobs/apply/B2B-Lead-Generation-Expert-Wanted-Automate-Scale-Outreach-with-Results_~021925122953231374447/","Unknown","B2B client ICP, buyer personas, conversion metrics","Company + person + campaign segments","Yes","Yes: segment and qualify leads","Likely: campaign data/results","Yes: copy/outreach sequences","Unknown","Ongoing 6+ months, contract-to-hire","Apollo, Clay, PhantomBuster, Lemlist, Instantly, LinkedIn Sales Navigator","L3 adjacent","Medium-high but systems/campaign execution is the purchased outcome.","High: proven portfolio, automation stack, outreach performance.","Exclude","Automation/outreach system delivery, not lead research list product."
"Lead Research / Qualified Lead List","Junior VA Needed for Recruiting Beta Reps for AI Chatbot Startup","Find, contact, and secure beta reps; research agency owners/consultants, qualify/prioritize prospects, personalize outreach, track installs/case-study consent.","50 potential beta reps by day 5; outreach log; 2+ rep agreements; 5 beta companies installed and consented","Hourly plus bonuses","$10-$12/hr plus performance bonus","$95 total spent","1 hire, 0 active","Less than 5","Worldwide","Entry level","2 days ago","https://www.upwork.com/freelance-jobs/apply/Junior-Needed-for-Recruiting-Beta-Reps-for-Chatbot-Startup_~021945517732800005190/","50 potential beta reps","ICP overlap, influence, responsiveness; agency owners/consultants","Person + organization + reach/channel","Yes: contact and tracking required","Yes: A/B/C priority","Yes: influence/responsiveness, install/case-study outcomes","Yes: invite/follow-up messages","Hourly $10-$12, bonus up to $150 per successful company","One-time 30-day sprint","LinkedIn Sales Navigator, GrowthMentor, Upwork, indie communities, PublicWWW/BuiltWith, Notion","L3","High for research, scoring, and personalization; execution/outreach still significant.","Medium-high: recruiting/outreach and performance-based outcomes.","Exclude","Includes securing agreements and installations; outcome is recruiting/outreach, not just research."
"Lead Research / Qualified Lead List","Outbound Sales Leader for Client Acquisition","Build qualified prospect list, launch multichannel outreach, deliver discovery calls, report insights.","100-200 organization list, outreach sequences, 10-15 qualified discovery calls, performance summary","Hourly","$25-$50/hr","$21K total spent","41 hires, 12 active","5 to 10","Worldwide","Expert","2 weeks ago","https://www.upwork.com/freelance-jobs/apply/Outbound-Sales-Leader-for-Client-Acquisition_~021978235478436281710/","100-200 organizations","Senior executives/service-firm leadership","Company + senior decision maker","Yes","Yes","Likely","Yes","Hourly $25-$50","Ongoing 1-3 months","CRM, Apollo or similar, outbound tools","L3 adjacent","Medium: AI can support account research and personalization, but sales execution dominates.","High: outbound sales leadership and meeting generation required.","Exclude","Sales execution and meeting delivery dominate."
"Lead Research / Qualified Lead List","B2B List Builder & LinkedIn Campaign Assistant","Behind-the-scenes assistant for list building, LinkedIn campaign support, CRM/admin, sales-call note-taking.","Lists, LinkedIn campaign support, CRM updates, reports, follow-up tasks","Hourly","Unknown","$268K total spent","292 hires, 18 active","5 to 10","US Eastern time +/- 3h","Intermediate","yesterday","https://www.upwork.com/freelance-jobs/apply/B2B-List-Builder-LinkedIn-Campaign-Assistant-hrs-day-start_~021932478532079510165/","Unknown","Client campaign criteria/SOPs","Company + person","Likely","No clear independent prioritization","No clear","Maybe AI-edited copy","Unknown","Ongoing 6+ months","Apollo, LinkedIn Sales Navigator, outbound/LinkedIn automation tools, CRM","L1/L2","High for list support but limited independent judgment.","Medium: time-zone constraint and campaign ops.","Exclude","VA/campaign assistant role, not standalone qualified lead research."
"Lead Research / Qualified Lead List","Sales Development Representative Needed for Lead Generation","Identify prospects, conduct outreach, qualify leads, set meetings with decision-makers.","Prospect research plus outreach/meeting-setting pipeline activity","Hourly","$6-$10/hr","$464 total spent","136 hires, 38 active","10 to 15","Worldwide","Intermediate","2 weeks ago","https://www.upwork.com/freelance-jobs/apply/Sales-Development-Representative-Needed-for-Lead-Generation_~021986951890742305459/","Unknown","Targeted industries, sales qualification","Company + decision maker","Likely","Yes, via sales qualification","Possibly","Yes, outreach","Hourly $6-$10","Ongoing 1-3 months","Sales tools, outreach tools","L3 adjacent","AI can support research, but core value is SDR communication.","High: sales/outreach/meeting setting.","Exclude","SDR role, not research deliverable."
