Source Query,Job Title,Task,Deliverable,Budget,Buyer Spend,Hires,Proposals,Required Expertise,Geography,Deadline,Repeated Pattern,Source URL,Posted Window
"market research","Elite Competitive-Intelligence Analyst - Business-Lending Funnel Teardown","Reverse-engineer competitor acquisition funnel","Competitive intelligence teardown/report","Fixed $7,500","Unknown","Unknown","Unknown","Expert","Unknown","Unknown","Competitor funnel teardown","https://www.upwork.com/freelance-jobs/apply/Winning-Product-Research-for-Ecommerce_~021953418161367479069/","17 hours ago"
"market research","Global AI SaaS Marketer for Japanese Startup","Global market awareness and English service improvement","Marketing/research recommendations","Hourly, not sure","Unknown","Unknown","Unknown","Intermediate","US-based requested","Unknown","Market expansion for SaaS","https://www.upwork.com/freelance-jobs/apply/Winning-Product-Research-for-Ecommerce_~021953418161367479069/","16 hours ago"
"market research","(USA) Looking for freelancers to conduct store interviews at coffee and tea shops","Primary research interviews at stores","Interview notes / market insights","Hourly, <30 hrs/week","Unknown","Unknown","Unknown","Intermediate","USA","Unknown","Primary field interviews","https://www.upwork.com/freelance-jobs/apply/Winning-Product-Research-for-Ecommerce_~021953418161367479069/","16 hours ago"
"market research","Research Specialist - Local Restaurant Data Collection (with Contact Details)","Compile local restaurant data","Restaurant contact dataset","Fixed $5","Unknown","Unknown","Unknown","Intermediate","Unknown","Unknown","Local contact data collection","https://www.upwork.com/freelance-jobs/apply/Winning-Product-Research-for-Ecommerce_~021953418161367479069/","15 hours ago"
"market research","Market Research Interviews for Bakery and Confectionery Market in Indonesia","Set and conduct buyer/procurement interviews","Interview findings from QSR/FSR/bakery buyers","Fixed $1,100","Unknown","Unknown","Unknown","Intermediate","Indonesia","Unknown","Primary market interviews","https://www.upwork.com/freelance-jobs/apply/Winning-Product-Research-for-Ecommerce_~021953418161367479069/","14 hours ago"
"market research","Paid Customer Research Session Participant (Freelancers and SMB Owners in the US, UK, and AU)","Recruit/participate in paid customer research session","Zoom session feedback","Fixed $100","Unknown","Unknown","Unknown","Entry","US, UK, AU","Brief session","Customer research participant recruitment","https://www.upwork.com/freelance-jobs/apply/Winning-Product-Research-for-Ecommerce_~021953418161367479069/","16 hours ago"
"market research","Seeking Expert Market Research Analyst for AI-Powered Reports","Create AI-powered market research reports","Research report","Fixed $40","Unknown","Unknown","Unknown","Expert","Unknown","Unknown","AI-assisted report production","https://www.upwork.com/freelance-jobs/apply/Winning-Product-Research-for-Ecommerce_~021953418161367479069/","16 hours ago"
"market research","E-commerce Product Researcher (Trade Me & Facebook Marketplace - NZ Market)","Find profitable ecommerce items","Product opportunity list/analysis","Hourly, 30+ hrs/week","Unknown","Unknown","Unknown","Expert","New Zealand market","Unknown","Product sourcing research","https://www.upwork.com/freelance-jobs/apply/Winning-Product-Research-for-Ecommerce_~021953418161367479069/","15 hours ago"
"market research","Chinese Product Research for Epoxy Resin Suppliers","Research/sourcing epoxy resin suppliers","Supplier shortlist","Fixed $50","Unknown","Unknown","Unknown","Intermediate","China/sourcing context","Unknown","Supplier/product sourcing","https://www.upwork.com/freelance-jobs/apply/Winning-Product-Research-for-Ecommerce_~021953418161367479069/","14 hours ago"
"market research","Lead Generation in India for Dubai Real Estate Market","Build investor/property buyer lead list","Verified leads with contact fields","Hourly, 30+ hrs/week","Unknown","Unknown","Unknown","Intermediate","India for Dubai market","Unknown","Real estate lead list","https://www.upwork.com/freelance-jobs/apply/Winning-Product-Research-for-Ecommerce_~021953418161367479069/","14 hours ago"
